Country,Pop20,Area,VetsStaff,VpC,Vdens,Name,LogPop,LogArea,LogVS
SriLanka,21413249,62710,3689,0.000172277,0.058826343,SriLanka,7.330682567,4.797336801,3.566908655
State of Palestine,5101414,6020,545,0.000106833,0.090531561,.,6.70769057,3.779596491,2.736396502
Sudan,43849260,1765048,12923,0.000294714,0.007321614,Sudan,7.641962269,6.24675652,4.111363344
SuriNAme,586632,156000,36,6.14E-05,0.000230769,.,5.768365749,5.193124598,1.556302501
Sweden,10099265,410340,3628,0.000359234,0.008841449,.,7.004289768,5.613143854,3.559667278
Switzerland,8654622,39516,3435,0.000396898,0.086926814,Switzerland,6.937248104,4.596772977,3.535926741
Syria,17500658,183630,16669,0.000952478,0.090774928,.,7.243054378,5.263943634,4.221909547
Taiwan,23816775,35410,5593,0.000234834,0.157949732,.,7.376882954,4.549125927,3.747644819
Tanzania,59734218,885800,5193,8.69E-05,0.005862497,Tanzania,7.776223183,5.947335676,3.715418323
Thailand,69799978,510890,9888,0.000141662,0.01935446,Thailand,7.843855286,5.708327402,3.995108458
Tonga,105695,720,18,0.000170301,0.025,.,5.024054443,2.857332496,1.255272505
TrinidadTobago,1399488,5130,440,0.000314401,0.085769981,.,6.145969179,3.710117365,2.643452676
Tunisia,11818619,155360,2171,0.000183693,0.013973996,Tunisia,7.072566732,5.191339213,3.336659823
Turkey,84339067,769630,20675,0.000245141,0.026863558,Turkey,7.926028792,5.886281988,4.315445518
Turkmenistan,6031200,469930,2856,0.000473538,0.006077501,.,6.78040373,5.672033171,3.455758203
Uganda,45741007,199810,755,1.65E-05,0.00377859,.,7.660305721,5.30061722,2.877946952
UnitedArabEmirates,9890402,83600,1166,0.000117892,0.013947368,UnitedArabEmirates,6.995213944,4.922206277,3.06669855
United Kingdom,67886011,241930,28152,0.000414695,0.116364238,United Kingdom,7.83178029,5.383689725,4.449509254
United States,331002651,9147420,171908,0.000519355,0.018793059,United States,8.519831472,6.96129862,5.235296088
Uruguay,3473730,175020,4497,0.001294574,0.025694206,Uruguay,6.540796059,5.24308768,3.652922888
Uzbekistan,33469203,425400,9406,0.000281034,0.022110954,.,7.524645371,5.628797486,3.973404974
Venezuela,28435940,882050,14918,0.000524618,0.016912873,Venezuela,7.453867589,5.945493204,4.173710603
VietNAm,97338579,310070,26400,0.000271218,0.085142065,Vietnam,7.988285002,5.491459749,4.421603927
Yemen,29825964,527970,763,2.56E-05,0.001445158,.,7.474594489,5.722609246,2.882524538
Zambia,18383955,743390,1667,9.07E-05,0.00224243,.,7.264438948,5.871216715,3.2219356
Zimbabwe,14862924,386850,4708,0.000316761,0.012170092,.,7.172104257,5.587542601,3.672836454
